question_id,question,answer_preview,cluster,rank,chunk_id,policy_name,page,section,match_score,chunk_preview,relevant
q003,Is the late submission penalty different for undergraduate and postgraduate taught students?,"No, the same late submission policy applies to all taught programmes. Coursework",Late Submission,2,0c32729f,Academic Regulations and Policies Handbook 2025 26 English Nov25,80.0,Late Submission of Coursework ,29,Academic Regulations and Policies Handbook 2025 26 English Nov25 Section 7 Late Submission of Coursework    7.1 Students,1
q003,Is the late submission penalty different for undergraduate and postgraduate taught students?,"No, the same late submission policy applies to all taught programmes. Coursework",Late Submission,3,a8941c73,COMSC School Handbook 25 26,12.0,Marking ,28,"COMSC School Handbook 25 26 Section 4.8 Marking  Most assessment tasks require academic and/or professional judgement, w",0
q003,Is the late submission penalty different for undergraduate and postgraduate taught students?,"No, the same late submission policy applies to all taught programmes. Coursework",Late Submission,4,9b6682b4,Extenuating Circumstances Procedure for Taught and Undergraduate Students,13.0,Glossary of Terms ,24,Extenuating Circumstances Procedure for Taught and Undergraduate Students Section 8 Glossary of Terms  Term  Definition ,0
q003,Is the late submission penalty different for undergraduate and postgraduate taught students?,"No, the same late submission policy applies to all taught programmes. Coursework",Late Submission,5,723df08c,Academic Regulations and Policies Handbook 2025 26 English Nov25,9.0,,19,- Strategic Approach to the Enhancement of Assessment and Feedback -  2023-2027  - Education Partnership Policy  - Educa,0
q004,What is the minimum pass mark for undergraduate modules at Cardiff University?,The pass mark is 40% for undergraduate modules.,Late Submission,1,7690cd99,Academic Regulations and Policies Handbook 2025 26 English Nov25,85.0,The quorum for Examining Boards will be when the Chair is satisfied that an ,16,Academic Regulations and Policies Handbook 2025 26 English Nov25 Section 11.7 The quorum for Examining Boards will be wh,1
q004,What is the minimum pass mark for undergraduate modules at Cardiff University?,The pass mark is 40% for undergraduate modules.,Late Submission,2,0d58990f,COMSC School Handbook 25 26,32.0,Component and Module Marks ,16,COMSC School Handbook 25 26 Section 14.5.2 Component and Module Marks  You will receive marks for each individual assess,1
q004,What is the minimum pass mark for undergraduate modules at Cardiff University?,The pass mark is 40% for undergraduate modules.,Late Submission,3,128aba41,Academic Regulations and Policies Handbook 2025 26 English Nov25,36.0,"Within each stage of a programme, a diet of approved modules must be ",13,"Academic Regulations and Policies Handbook 2025 26 English Nov25 Section 2.4 Within each stage of a programme, a diet of",0
q004,What is the minimum pass mark for undergraduate modules at Cardiff University?,The pass mark is 40% for undergraduate modules.,Late Submission,4,f48dc6f3,Academic Regulations and Policies Handbook 2025 26 English Nov25,36.0,The mark for an individual module will be calculated according to the ,13,Academic Regulations and Policies Handbook 2025 26 English Nov25 Section 2.5 The mark for an individual module will be c,0
q004,What is the minimum pass mark for undergraduate modules at Cardiff University?,The pass mark is 40% for undergraduate modules.,Late Submission,5,9b6682b4,Extenuating Circumstances Procedure for Taught and Undergraduate Students,13.0,Glossary of Terms ,13,Extenuating Circumstances Procedure for Taught and Undergraduate Students Section 8 Glossary of Terms  Term  Definition ,0
q005,What is the minimum pass mark for postgraduate modules at Cardiff University?,The pass mark is 50% for postgraduate modules.,Late Submission,1,0d58990f,COMSC School Handbook 25 26,32.0,Component and Module Marks ,16,COMSC School Handbook 25 26 Section 14.5.2 Component and Module Marks  You will receive marks for each individual assess,1
q005,What is the minimum pass mark for postgraduate modules at Cardiff University?,The pass mark is 50% for postgraduate modules.,Late Submission,2,128aba41,Academic Regulations and Policies Handbook 2025 26 English Nov25,36.0,"Within each stage of a programme, a diet of approved modules must be ",13,"Academic Regulations and Policies Handbook 2025 26 English Nov25 Section 2.4 Within each stage of a programme, a diet of",1
q005,What is the minimum pass mark for postgraduate modules at Cardiff University?,The pass mark is 50% for postgraduate modules.,Late Submission,3,f48dc6f3,Academic Regulations and Policies Handbook 2025 26 English Nov25,36.0,The mark for an individual module will be calculated according to the ,13,Academic Regulations and Policies Handbook 2025 26 English Nov25 Section 2.5 The mark for an individual module will be c,0
q005,What is the minimum pass mark for postgraduate modules at Cardiff University?,The pass mark is 50% for postgraduate modules.,Late Submission,4,9b6682b4,Extenuating Circumstances Procedure for Taught and Undergraduate Students,13.0,Glossary of Terms ,13,Extenuating Circumstances Procedure for Taught and Undergraduate Students Section 8 Glossary of Terms  Term  Definition ,0
q005,What is the minimum pass mark for postgraduate modules at Cardiff University?,The pass mark is 50% for postgraduate modules.,Late Submission,5,ab8a1301,Academic Regulations and Policies Handbook 2025 26 English Nov25,51.0,,12,"- Students who achieve a final mark of 48% or 49% will be awarded a  degree classification of Second Class Honours, Divi",0
q006,"If I submit my coursework 20 hours late as a postgraduate student with no extenuating circumstances,",Since the submission is within 24 hours of the deadline and the pass mark for po,Late Submission,1,0c32729f,Academic Regulations and Policies Handbook 2025 26 English Nov25,80.0,Late Submission of Coursework ,24,Academic Regulations and Policies Handbook 2025 26 English Nov25 Section 7 Late Submission of Coursework    7.1 Students,1
q006,"If I submit my coursework 20 hours late as a postgraduate student with no extenuating circumstances,",Since the submission is within 24 hours of the deadline and the pass mark for po,Late Submission,2,a8941c73,COMSC School Handbook 25 26,12.0,Marking ,21,"COMSC School Handbook 25 26 Section 4.8 Marking  Most assessment tasks require academic and/or professional judgement, w",1
q006,"If I submit my coursework 20 hours late as a postgraduate student with no extenuating circumstances,",Since the submission is within 24 hours of the deadline and the pass mark for po,Late Submission,3,0d7a43ea,Extenuating Circumstances Procedure for Taught and Undergraduate Students,16.0,,21,Exam or TimeLimited  Assessment  An assessment completed in controlled conditions that lasts up to 48  hours. Group work,0
q006,"If I submit my coursework 20 hours late as a postgraduate student with no extenuating circumstances,",Since the submission is within 24 hours of the deadline and the pass mark for po,Late Submission,4,9b6682b4,Extenuating Circumstances Procedure for Taught and Undergraduate Students,13.0,Glossary of Terms ,20,Extenuating Circumstances Procedure for Taught and Undergraduate Students Section 8 Glossary of Terms  Term  Definition ,0
q006,"If I submit my coursework 20 hours late as a postgraduate student with no extenuating circumstances,",Since the submission is within 24 hours of the deadline and the pass mark for po,Late Submission,5,0d58990f,COMSC School Handbook 25 26,32.0,Component and Module Marks ,19,COMSC School Handbook 25 26 Section 14.5.2 Component and Module Marks  You will receive marks for each individual assess,0
q007,Can I avoid late submission penalties by declaring extenuating circumstances?,"Yes. If you have extenuating circumstances, you should submit a declaration befo",Late Submission,1,11955df7,Extenuating Circumstances Procedure for Taught and Undergraduate Students,10.0,,49,Cardiff University Extenuating Circumstances Procedure v2 09/25  The Extenuating Circumstances Group will meet regularly,1
q007,Can I avoid late submission penalties by declaring extenuating circumstances?,"Yes. If you have extenuating circumstances, you should submit a declaration befo",Late Submission,2,9fb42f4d,Extenuating Circumstances Procedure for Taught and Undergraduate Students,6.0,,40,Cardiff University Extenuating Circumstances Procedure v2 09/25  If assessments are not completed on time and without ex,1
q007,Can I avoid late submission penalties by declaring extenuating circumstances?,"Yes. If you have extenuating circumstances, you should submit a declaration befo",Late Submission,3,2546d450,Extenuating Circumstances Procedure for Taught and Undergraduate Students,10.0,,32,as though the  extension had been granted before the coursework deadline. If you subsequently complete the assessment an,0
q007,Can I avoid late submission penalties by declaring extenuating circumstances?,"Yes. If you have extenuating circumstances, you should submit a declaration befo",Late Submission,4,96a075d0,Extenuating Circumstances Procedure for Taught and Undergraduate Students,8.0,,30,Cardiff University Extenuating Circumstances Procedure v2 09/25  Situation   You are unable to  attend an  examination o,0
q007,Can I avoid late submission penalties by declaring extenuating circumstances?,"Yes. If you have extenuating circumstances, you should submit a declaration befo",Late Submission,5,074034dc,Extenuating Circumstances Procedure for Taught and Undergraduate Students,18.0,,29,Cardiff University Extenuating Circumstances Procedure v2 09/25  You are not able to  sit/submit an  upcoming  assessmen,0
q008,Where can I find information about the late submission policy for COMSC students?,Late submissions are treated in accordance with the University policy. Informati,Late Submission,1,79b89df1,COMSC School Handbook 25 26,31.0,Late Submission ,33,COMSC School Handbook 25 26 Section 14.3.2 Late Submission  Late submissions are treated in accordance with the Universi,1
q008,Where can I find information about the late submission policy for COMSC students?,Late submissions are treated in accordance with the University policy. Informati,Late Submission,2,ae25d542,COMSC School Handbook 25 26,21.0,Academic integrity ,25,COMSC School Handbook 25 26 Section 9.5 Academic integrity  It is essential that you understand what academic integrity ,1
q008,Where can I find information about the late submission policy for COMSC students?,Late submissions are treated in accordance with the University policy. Informati,Late Submission,3,c3ff01d6,COMSC School Handbook 25 26,9.0,University IT ,21,COMSC School Handbook 25 26 Section 3.8 University IT  All students using our IT facilities are bound by the university ,0
q008,Where can I find information about the late submission policy for COMSC students?,Late submissions are treated in accordance with the University policy. Informati,Late Submission,4,56bff567,COMSC School Handbook 25 26,11.0,Blended Learning ,21,COMSC School Handbook 25 26 Section 4.3 Blended Learning  We take a blended learning approach to our teaching that combi,0
q008,Where can I find information about the late submission policy for COMSC students?,Late submissions are treated in accordance with the University policy. Informati,Late Submission,5,63a5e713,COMSC School Handbook 25 26,28.0,Accessing additional IT support ,21,"COMSC School Handbook 25 26 Section 13.3 Accessing additional IT support  If you have an IT problem or query, please con",0
q009,Does failing an assessed component automatically mean I fail the whole module?,No. Failing a module's assessed component does not necessarily mean you fail the,Late Submission,1,0d58990f,COMSC School Handbook 25 26,32.0,Component and Module Marks ,36,COMSC School Handbook 25 26 Section 14.5.2 Component and Module Marks  You will receive marks for each individual assess,1
q009,Does failing an assessed component automatically mean I fail the whole module?,No. Failing a module's assessed component does not necessarily mean you fail the,Late Submission,2,f48dc6f3,Academic Regulations and Policies Handbook 2025 26 English Nov25,36.0,The mark for an individual module will be calculated according to the ,22,Academic Regulations and Policies Handbook 2025 26 English Nov25 Section 2.5 The mark for an individual module will be c,1
q009,Does failing an assessed component automatically mean I fail the whole module?,No. Failing a module's assessed component does not necessarily mean you fail the,Late Submission,3,7150213d,Academic Regulations and Policies Handbook 2025 26 English Nov25,44.0,"Where a student repeats module(s) as an internal student, the student will ",11,Academic Regulations and Policies Handbook 2025 26 English Nov25 Section 4.15 Where a student repeats module(s) as an in,0
q009,Does failing an assessed component automatically mean I fail the whole module?,No. Failing a module's assessed component does not necessarily mean you fail the,Late Submission,4,db4e94a5,Academic Regulations and Policies Handbook 2025 26 English Nov25,45.0,"Where a student repeats module(s) as an external student, the student will ",11,Academic Regulations and Policies Handbook 2025 26 English Nov25 Section 4.16 Where a student repeats module(s) as an ex,0
q009,Does failing an assessed component automatically mean I fail the whole module?,No. Failing a module's assessed component does not necessarily mean you fail the,Late Submission,5,cb8ceadd,Academic Regulations and Policies Handbook 2025 26 English Nov25,58.0,"Where a student repeats module(s) as an internal student, the student will ",11,Academic Regulations and Policies Handbook 2025 26 English Nov25 Section 5.14 Where a student repeats module(s) as an in,0
q010,How should I submit my coursework at COMSC?,Coursework should be submitted electronically via Learning Central as specified ,Late Submission,1,e92ec896,COMSC School Handbook 25 26,31.0,Coursework Submission ,27,COMSC School Handbook 25 26 Section 14.3.1 Coursework Submission  Coursework should be submitted electronically via Lear,1
q010,How should I submit my coursework at COMSC?,Coursework should be submitted electronically via Learning Central as specified ,Late Submission,2,5fcc43d5,COMSC School Handbook 25 26,11.0,The purpose of assessment ,12,COMSC School Handbook 25 26 Section 4.5 The purpose of assessment  Assessments allow you to demonstrate your understandi,1
q010,How should I submit my coursework at COMSC?,Coursework should be submitted electronically via Learning Central as specified ,Late Submission,3,7484c274,COMSC School Handbook 25 26,31.0,Coursework ,11,COMSC School Handbook 25 26 Section 14.3 Coursework  Most of your modules will include an element of assessed coursework,0
q010,How should I submit my coursework at COMSC?,Coursework should be submitted electronically via Learning Central as specified ,Late Submission,4,20baf690,COMSC School Handbook 25 26,34.0,Feedback on assessment ,11,COMSC School Handbook 25 26 Section 14.6 Feedback on assessment  doing so. A conversation with your personal tutor or ot,0
q010,How should I submit my coursework at COMSC?,Coursework should be submitted electronically via Learning Central as specified ,Late Submission,5,af3824f2,Academic Misconduct Procedure Taught,2.0,Action will be taken when there is a concern about any academic ,10,Academic Misconduct Procedure Taught Section 2.1 Action will be taken when there is a concern about any academic  miscon,0
q011,What should I do if I cannot submit coursework on Learning Central due to technical difficulties?,You should email your submission to the module leader and comsc-submissions@card,Late Submission,1,e92ec896,COMSC School Handbook 25 26,31.0,Coursework Submission ,46,COMSC School Handbook 25 26 Section 14.3.1 Coursework Submission  Coursework should be submitted electronically via Lear,1
q011,What should I do if I cannot submit coursework on Learning Central due to technical difficulties?,You should email your submission to the module leader and comsc-submissions@card,Late Submission,2,63a5e713,COMSC School Handbook 25 26,28.0,Accessing additional IT support ,13,"COMSC School Handbook 25 26 Section 13.3 Accessing additional IT support  If you have an IT problem or query, please con",1
q011,What should I do if I cannot submit coursework on Learning Central due to technical difficulties?,You should email your submission to the module leader and comsc-submissions@card,Late Submission,3,c31d9479,Academic Regulations and Policies Handbook 2025 26 English Nov25,17.0,The Head of School will establish a School Postgraduate Research ,12,Academic Regulations and Policies Handbook 2025 26 English Nov25 Section 5.2.2 The Head of School will establish a Schoo,0
q011,What should I do if I cannot submit coursework on Learning Central due to technical difficulties?,You should email your submission to the module leader and comsc-submissions@card,Late Submission,4,920dab06,COMSC School Handbook 25 26,10.0,Protect yourself and your data online ,12,COMSC School Handbook 25 26 Section 3.13 Protect yourself and your data online  Multi-Factor Authentication (MFA) helps ,0
q011,What should I do if I cannot submit coursework on Learning Central due to technical difficulties?,You should email your submission to the module leader and comsc-submissions@card,Late Submission,5,4196cfb4,Extenuating Circumstances Procedure for Taught and Undergraduate Students,16.0,,12,Cardiff University Extenuating Circumstances Procedure v2 09/25  If you are unable to present evidence with your circums,0
q012,What are the two ways I can fail a module's assessed component?,"You can fail by obtaining a mark below the pass mark (40% for undergraduate, 50%",Late Submission,1,0d58990f,COMSC School Handbook 25 26,32.0,Component and Module Marks ,32,COMSC School Handbook 25 26 Section 14.5.2 Component and Module Marks  You will receive marks for each individual assess,1
q012,What are the two ways I can fail a module's assessed component?,"You can fail by obtaining a mark below the pass mark (40% for undergraduate, 50%",Late Submission,2,b24d3c51,COMSC School Handbook 25 26,33.0,,15,The type of reassessment you will need to complete depends on the components you have  failed. You may be required to re,1
q012,What are the two ways I can fail a module's assessed component?,"You can fail by obtaining a mark below the pass mark (40% for undergraduate, 50%",Late Submission,3,0d7a43ea,Extenuating Circumstances Procedure for Taught and Undergraduate Students,16.0,,13,Exam or TimeLimited  Assessment  An assessment completed in controlled conditions that lasts up to 48  hours. Group work,0
q012,What are the two ways I can fail a module's assessed component?,"You can fail by obtaining a mark below the pass mark (40% for undergraduate, 50%",Late Submission,4,0c32729f,Academic Regulations and Policies Handbook 2025 26 English Nov25,80.0,Late Submission of Coursework ,12,Academic Regulations and Policies Handbook 2025 26 English Nov25 Section 7 Late Submission of Coursework    7.1 Students,0
q012,What are the two ways I can fail a module's assessed component?,"You can fail by obtaining a mark below the pass mark (40% for undergraduate, 50%",Late Submission,5,a8941c73,COMSC School Handbook 25 26,12.0,Marking ,12,"COMSC School Handbook 25 26 Section 4.8 Marking  Most assessment tasks require academic and/or professional judgement, w",0
q013,How long does the school aim to return assessment marks after the submission deadline?,The school aims to return all assessment marks within 20 working days of the sub,Late Submission,1,10d118b3,COMSC School Handbook 25 26,31.0,Marking ,26,COMSC School Handbook 25 26 Section 14.5 Marking  We aim to return all assessment marks within 20 working days of the su,1
q013,How long does the school aim to return assessment marks after the submission deadline?,The school aims to return all assessment marks within 20 working days of the sub,Late Submission,2,20baf690,COMSC School Handbook 25 26,34.0,Feedback on assessment ,21,COMSC School Handbook 25 26 Section 14.6 Feedback on assessment  doing so. A conversation with your personal tutor or ot,1
q013,How long does the school aim to return assessment marks after the submission deadline?,The school aims to return all assessment marks within 20 working days of the sub,Late Submission,3,02e33d75,Academic Regulations and Policies Handbook 2025 26 English Nov25,69.0,Part-time Professional Doctorates: in accordance with programme ,14,Academic Regulations and Policies Handbook 2025 26 English Nov25 Section 6.5.11 Part-time Professional Doctorates: in ac,0
q013,How long does the school aim to return assessment marks after the submission deadline?,The school aims to return all assessment marks within 20 working days of the sub,Late Submission,4,11955df7,Extenuating Circumstances Procedure for Taught and Undergraduate Students,10.0,,14,Cardiff University Extenuating Circumstances Procedure v2 09/25  The Extenuating Circumstances Group will meet regularly,0
q013,How long does the school aim to return assessment marks after the submission deadline?,The school aims to return all assessment marks within 20 working days of the sub,Late Submission,5,6c224c5e,Extenuating Circumstances Procedure for Taught and Undergraduate Students,7.0,,11,Cardiff University Extenuating Circumstances Procedure v2 09/25  Reporting extenuating circumstance before an assessment,0
q014,What happens if the 20 working day feedback deadline cannot be met?,"If the timeframe cannot be met, the school will inform students as soon as possi",Late Submission,1,10d118b3,COMSC School Handbook 25 26,31.0,Marking ,18,COMSC School Handbook 25 26 Section 14.5 Marking  We aim to return all assessment marks within 20 working days of the su,1
q014,What happens if the 20 working day feedback deadline cannot be met?,"If the timeframe cannot be met, the school will inform students as soon as possi",Late Submission,2,20baf690,COMSC School Handbook 25 26,34.0,Feedback on assessment ,12,COMSC School Handbook 25 26 Section 14.6 Feedback on assessment  doing so. A conversation with your personal tutor or ot,1
q014,What happens if the 20 working day feedback deadline cannot be met?,"If the timeframe cannot be met, the school will inform students as soon as possi",Late Submission,3,8047a863,COMSC School Handbook 25 26,14.0,"Feeling unwell, reporting an absence and having a trusted contact ",11,"COMSC School Handbook 25 26 Section 7.2 Feeling unwell, reporting an absence and having a trusted contact  Make sure you",0
q014,What happens if the 20 working day feedback deadline cannot be met?,"If the timeframe cannot be met, the school will inform students as soon as possi",Late Submission,4,5fcc43d5,COMSC School Handbook 25 26,11.0,The purpose of assessment ,10,COMSC School Handbook 25 26 Section 4.5 The purpose of assessment  Assessments allow you to demonstrate your understandi,0
q014,What happens if the 20 working day feedback deadline cannot be met?,"If the timeframe cannot be met, the school will inform students as soon as possi",Late Submission,5,f08971d1,COMSC School Handbook 25 26,40.0,Academic Regulations in my School ,10,COMSC School Handbook 25 26 Section 17 Academic Regulations in my School    17.1 Extenuating Circumstances  If you need ,0
q015,When are coursework submission dates made available to students?,Information on when coursework will be set and the associated submission dates w,Late Submission,1,7484c274,COMSC School Handbook 25 26,31.0,Coursework ,37,COMSC School Handbook 25 26 Section 14.3 Coursework  Most of your modules will include an element of assessed coursework,1
q015,When are coursework submission dates made available to students?,Information on when coursework will be set and the associated submission dates w,Late Submission,2,20baf690,COMSC School Handbook 25 26,34.0,Feedback on assessment ,21,COMSC School Handbook 25 26 Section 14.6 Feedback on assessment  doing so. A conversation with your personal tutor or ot,1
q015,When are coursework submission dates made available to students?,Information on when coursework will be set and the associated submission dates w,Late Submission,3,11955df7,Extenuating Circumstances Procedure for Taught and Undergraduate Students,10.0,,19,Cardiff University Extenuating Circumstances Procedure v2 09/25  The Extenuating Circumstances Group will meet regularly,0
q015,When are coursework submission dates made available to students?,Information on when coursework will be set and the associated submission dates w,Late Submission,4,e92ec896,COMSC School Handbook 25 26,31.0,Coursework Submission ,18,COMSC School Handbook 25 26 Section 14.3.1 Coursework Submission  Coursework should be submitted electronically via Lear,0
q015,When are coursework submission dates made available to students?,Information on when coursework will be set and the associated submission dates w,Late Submission,5,3e1c3864,Academic Regulations and Policies Handbook 2025 26 English Nov25,25.0,Start Dates and Deferred Entry ,15,Academic Regulations and Policies Handbook 2025 26 English Nov25 Section 5 Start Dates and Deferred Entry    5.1 The dat,0
q016,What is the Late Submission Policy for research degree theses?,Research students are expected to submit their thesis within the regulatory time,Late Submission,1,454fdea2,Late Submission Policy,2.0,"As a research student, you are expected to submit your thesis within the ",41,"Late Submission Policy Section 1 As a research student, you are expected to submit your thesis within the  regulatory ti",1
q016,What is the Late Submission Policy for research degree theses?,Research students are expected to submit their thesis within the regulatory time,Late Submission,2,1c0950e9,Late Submission Policy,2.0,Requests for submission of a thesis more than 12 months after the ,27,Late Submission Policy Section 10 Requests for submission of a thesis more than 12 months after the  submission/resubmis,1
q016,What is the Late Submission Policy for research degree theses?,Research students are expected to submit their thesis within the regulatory time,Late Submission,3,63e7f350,Late Submission Policy,2.0,Your Head of School may accept your thesis as a Late Submission no later ,24,Late Submission Policy Section 8 Your Head of School may accept your thesis as a Late Submission no later  than 12 month,0
q016,What is the Late Submission Policy for research degree theses?,Research students are expected to submit their thesis within the regulatory time,Late Submission,4,02e33d75,Academic Regulations and Policies Handbook 2025 26 English Nov25,69.0,Part-time Professional Doctorates: in accordance with programme ,23,Academic Regulations and Policies Handbook 2025 26 English Nov25 Section 6.5.11 Part-time Professional Doctorates: in ac,0
q016,What is the Late Submission Policy for research degree theses?,Research students are expected to submit their thesis within the regulatory time,Late Submission,5,866f1582,Late Submission Policy,2.0,"If you intend to make a Late Submission, you should request, via your School ",22,"Late Submission Policy Section 3 If you intend to make a Late Submission, you should request, via your School  Director ",0
q017,Can a research student submit their thesis more than 12 months after the deadline?,Requests for submission more than 12 months after the deadline will be considere,Late Submission,1,1c0950e9,Late Submission Policy,2.0,Requests for submission of a thesis more than 12 months after the ,37,Late Submission Policy Section 10 Requests for submission of a thesis more than 12 months after the  submission/resubmis,1
q017,Can a research student submit their thesis more than 12 months after the deadline?,Requests for submission more than 12 months after the deadline will be considere,Late Submission,2,11955df7,Extenuating Circumstances Procedure for Taught and Undergraduate Students,10.0,,20,Cardiff University Extenuating Circumstances Procedure v2 09/25  The Extenuating Circumstances Group will meet regularly,1
q017,Can a research student submit their thesis more than 12 months after the deadline?,Requests for submission more than 12 months after the deadline will be considere,Late Submission,3,723df08c,Academic Regulations and Policies Handbook 2025 26 English Nov25,9.0,,19,- Strategic Approach to the Enhancement of Assessment and Feedback -  2023-2027  - Education Partnership Policy  - Educa,0
q017,Can a research student submit their thesis more than 12 months after the deadline?,Requests for submission more than 12 months after the deadline will be considere,Late Submission,4,02e33d75,Academic Regulations and Policies Handbook 2025 26 English Nov25,69.0,Part-time Professional Doctorates: in accordance with programme ,19,Academic Regulations and Policies Handbook 2025 26 English Nov25 Section 6.5.11 Part-time Professional Doctorates: in ac,0
q017,Can a research student submit their thesis more than 12 months after the deadline?,Requests for submission more than 12 months after the deadline will be considere,Late Submission,5,454fdea2,Late Submission Policy,2.0,"As a research student, you are expected to submit your thesis within the ",19,"Late Submission Policy Section 1 As a research student, you are expected to submit your thesis within the  regulatory ti",0
q018,What factors are considered when deciding whether to accept a late thesis submission?,"The Head of School considers the viability of the thesis, the currency of the wo",Late Submission,1,b0a1f8ff,Late Submission Policy,2.0,The decision whether to accept your thesis as a Late Submission will be at ,45,Late Submission Policy Section 7 The decision whether to accept your thesis as a Late Submission will be at  the discret,1
q018,What factors are considered when deciding whether to accept a late thesis submission?,"The Head of School considers the viability of the thesis, the currency of the wo",Late Submission,2,63e7f350,Late Submission Policy,2.0,Your Head of School may accept your thesis as a Late Submission no later ,19,Late Submission Policy Section 8 Your Head of School may accept your thesis as a Late Submission no later  than 12 month,1
q018,What factors are considered when deciding whether to accept a late thesis submission?,"The Head of School considers the viability of the thesis, the currency of the wo",Late Submission,3,a3e041aa,Academic Regulations and Policies Handbook 2025 26 English Nov25,97.0,The Head of School will appoint an independent reviewer who is ,18,Academic Regulations and Policies Handbook 2025 26 English Nov25 Section 7.8 The Head of School will appoint an independ,0
q018,What factors are considered when deciding whether to accept a late thesis submission?,"The Head of School considers the viability of the thesis, the currency of the wo",Late Submission,4,005e13ac,Academic Regulations and Policies Handbook 2025 26 English Nov25,93.0,"Examining Boards, in recommending the candidate for the degree, shall ",16,"Academic Regulations and Policies Handbook 2025 26 English Nov25 Section 6.1 Examining Boards, in recommending the candi",0
q018,What factors are considered when deciding whether to accept a late thesis submission?,"The Head of School considers the viability of the thesis, the currency of the wo",Late Submission,5,167f2b32,Academic Regulations and Policies Handbook 2025 26 English Nov25,98.0,An Examining Board may recommend to the Awards and Progress ,16,Academic Regulations and Policies Handbook 2025 26 English Nov25 Section 8.1 An Examining Board may recommend to the Awa,0
q019,What access does a research student retain if their enrolled status is removed due to late submissio,"They will retain a University email account and log-in, and have access to the L",Late Submission,1,4284013a,Late Submission Policy,2.0,"Where your enrolled status is removed, you will not be entitled to renew your ",40,"Late Submission Policy Section 5 Where your enrolled status is removed, you will not be entitled to renew your  student ",1
